Date,Open,High,Low,Close
15/09/2010,0.06199,0.0625,0.0604,0.0604
16/09/2010,0.0604,0.0619,0.0618,0.0619
17/09/2010,0.0619,0.0609,0.059,0.059
18/09/2010,0.059,0.061,0.05761,0.061
19/09/2010,0.061,0.0627,0.06,0.0627
20/09/2010,0.0627,0.0634,0.062,0.0621
21/09/2010,0.0621,0.0633,0.0623,0.06265
22/09/2010,0.06265,0.0624,0.06147,0.0622
23/09/2010,0.0622,0.063,0.0615,0.06231
24/09/2010,0.06231,0.0624,0.06209,0.0622
25/09/2010,0.0622,0.0624,0.0617,0.06202
26/09/2010,0.06202,0.06228,0.06186,0.062
27/09/2010,0.062,0.06228,0.0619,0.0622
28/09/2010,0.0622,0.06271,0.0617,0.0619
29/09/2010,0.0619,0.062,0.0615,0.06191
30/09/2010,0.06191,0.0619,0.06155,0.0619
01/10/2010,0.0619,0.062,0.06189,0.06197
02/10/2010,0.06197,0.06191,0.06125,0.0614
03/10/2010,0.0614,0.0614,0.061,0.06111
04/10/2010,0.06111,0.062,0.06081,0.0613
05/10/2010,0.0613,0.06301,0.0609,0.0614
06/10/2010,0.0614,0.0635,0.0612,0.06281
07/10/2010,0.06281,0.067,0.0628,0.067
08/10/2010,0.067,0.088,0.01,0.08685
09/10/2010,0.08685,0.12,0.068,0.0938
10/10/2010,0.0938,0.1301,0.07999,0.0965
11/10/2010,0.0965,0.103,0.091,0.095
12/10/2010,0.095,0.099,0.082,0.0949
13/10/2010,0.0949,0.105,0.092,0.105
14/10/2010,0.105,0.1045,0.065,0.102
15/10/2010,0.102,0.119,0.092,0.105
16/10/2010,0.105,0.103,0.1,0.101
17/10/2010,0.101,0.1045,0.1,0.102
18/10/2010,0.102,0.103,0.097,0.1024
19/10/2010,0.1024,0.1019,0.097,0.097
20/10/2010,0.097,0.103,0.094,0.099
21/10/2010,0.099,0.109,0.097,0.107
22/10/2010,0.107,0.109,0.1015,0.1025
23/10/2010,0.1025,0.109,0.1045,0.1055
24/10/2010,0.1055,0.19,0.108,0.115
25/10/2010,0.115,0.19,0.09009,0.132
26/10/2010,0.132,0.18,0.133,0.1503
27/10/2010,0.1503,0.19,0.151,0.1877
28/10/2010,0.1877,0.191,0.1731,0.1731
29/10/2010,0.1731,0.19,0.173,0.19
30/10/2010,0.19,0.199,0.1875,0.1989
31/10/2010,0.1989,0.1989,0.171,0.1925
01/11/2010,0.1925,0.1955,0.172,0.1955
02/11/2010,0.1955,0.195,0.1905,0.1938
03/11/2010,0.1938,0.275,0.125,0.1931
04/11/2010,0.1931,0.236,0.1934,0.23
05/11/2010,0.23,0.2639,0.2101,0.26
06/11/2010,0.26,0.5,0.2402,0.39
07/11/2010,0.39,0.47,0.286,0.34
08/11/2010,0.34,0.37,0.2261,0.243
09/11/2010,0.243,0.323,0.199,0.21
10/11/2010,0.21,0.24,0.14,0.24
11/11/2010,0.24,0.24,0.21,0.2231
12/11/2010,0.2231,0.29,0.223,0.2682
13/11/2010,0.2682,0.3,0.2683,0.276
14/11/2010,0.276,0.299,0.2702,0.279
15/11/2010,0.279,0.2828,0.2682,0.2682
16/11/2010,0.2682,0.275,0.223,0.223
17/11/2010,0.223,0.29,0.2116,0.2299
18/11/2010,0.2299,0.283,0.2221,0.2678
19/11/2010,0.2678,0.28,0.2682,0.28
20/11/2010,0.28,0.29,0.2682,0.283
21/11/2010,0.283,0.282,0.2763,0.2767
22/11/2010,0.2767,0.2879,0.269,0.2879
23/11/2010,0.2879,0.2845,0.276,0.2829
24/11/2010,0.2829,0.283,0.2761,0.283
25/11/2010,0.283,0.2825,0.278,0.28
26/11/2010,0.28,0.289,0.2761,0.2844
27/11/2010,0.2844,0.2844,0.2826,0.283
28/11/2010,0.283,0.2846,0.27,0.27
29/11/2010,0.27,0.279,0.2151,0.2299
30/11/2010,0.2299,0.2299,0.204,0.2082
01/12/2010,0.2082,0.2299,0.2095,0.2275
02/12/2010,0.2275,0.2553,0.218,0.255
03/12/2010,0.255,0.2552,0.243,0.251
04/12/2010,0.251,0.2589,0.205,0.205
05/12/2010,0.205,0.235,0.19,0.19
06/12/2010,0.19,0.225,0.1841,0.204
07/12/2010,0.204,0.2477,0.1701,0.233
08/12/2010,0.233,0.24,0.22,0.2388
09/12/2010,0.2388,0.233,0.1701,0.2
10/12/2010,0.2,0.204,0.1825,0.204
11/12/2010,0.204,0.228,0.1907,0.228
12/12/2010,0.228,0.2279,0.2068,0.22
13/12/2010,0.22,0.23,0.21,0.2299
14/12/2010,0.2299,0.2468,0.21,0.2467
15/12/2010,0.2467,0.246,0.238,0.238
16/12/2010,0.238,0.255,0.2222,0.25
17/12/2010,0.25,0.249,0.24,0.24
18/12/2010,0.24,0.2488,0.241,0.241
19/12/2010,0.241,0.2499,0.24,0.2401
20/12/2010,0.2401,0.275,0.24,0.267
21/12/2010,0.267,0.267,0.24,0.24
22/12/2010,0.24,0.25,0.244,0.25
23/12/2010,0.25,0.25,0.241,0.25
24/12/2010,0.25,0.25,0.242,0.248
25/12/2010,0.248,0.25,0.2475,0.2499
26/12/2010,0.2499,0.27,0.2464,0.265
27/12/2010,0.265,0.27,0.251,0.265
28/12/2010,0.265,0.281,0.2612,0.281
29/12/2010,0.281,0.301,0.271,0.3
30/12/2010,0.3,0.3,0.291,0.3
31/12/2010,0.3,0.3,0.292,0.3
01/01/2011,0.3,0.3,0.292,0.3
02/01/2011,0.3,0.3,0.289,0.3
03/01/2011,0.3,0.2999,0.29,0.295
04/01/2011,0.295,0.2999,0.289,0.2989
05/01/2011,0.2989,0.299,0.29,0.299
06/01/2011,0.299,0.299,0.29,0.298
07/01/2011,0.298,0.322,0.2975,0.32
08/01/2011,0.32,0.3229,0.309,0.3229
09/01/2011,0.3229,0.323,0.3229,0.323
10/01/2011,0.323,0.329,0.3175,0.3266
11/01/2011,0.3266,0.3266,0.3176,0.3266
12/01/2011,0.3266,0.3557,0.318,0.3188
13/01/2011,0.3188,0.405,0.3176,0.3176
14/01/2011,0.3176,0.45,0.3176,0.4
15/01/2011,0.4,0.4,0.385,0.386
16/01/2011,0.386,0.4,0.386,0.3868
17/01/2011,0.3868,0.3868,0.315,0.3495
18/01/2011,0.3495,0.3495,0.305,0.313
19/01/2011,0.313,0.313,0.305,0.313
20/01/2011,0.313,0.39,0.31,0.39
21/01/2011,0.39,0.44,0.368,0.4199
22/01/2011,0.4199,0.4443,0.39,0.4443
23/01/2011,0.4443,0.4443,0.42,0.4424
24/01/2011,0.4424,0.4424,0.381,0.4199
25/01/2011,0.4199,0.425,0.4,0.41
26/01/2011,0.41,0.42,0.3904,0.417
27/01/2011,0.417,0.45,0.4085,0.4212
28/01/2011,0.4212,0.446,0.4212,0.446
29/01/2011,0.446,0.445,0.43,0.439
30/01/2011,0.439,0.48,0.445,0.4799
31/01/2011,0.4799,0.95,0.47,0.52
01/02/2011,0.52,0.85,0.5201,0.7
02/02/2011,0.7,0.76,0.69,0.716
03/02/2011,0.716,0.75,0.6501,0.69
04/02/2011,0.69,0.88,0.67,0.811
05/02/2011,0.811,0.92,0.8115,0.92
06/02/2011,0.92,0.92,0.83,0.8997
07/02/2011,0.8997,0.9,0.83,0.89
08/02/2011,0.89,0.918,0.8617,0.918
09/02/2011,0.918,1.09,0.82,1.09
10/02/2011,1.09,1.1,0.8,0.9803
11/02/2011,0.9803,1.09,0.9264,1.07
12/02/2011,1.07,1.08,0.9906,1.08
13/02/2011,1.08,1.08,1.02,1.05
14/02/2011,1.05,1.08,1.033,1.07
15/02/2011,1.07,1.085,1.035,1.05
16/02/2011,1.05,1.05,1.02,1.045
17/02/2011,1.045,1.05,1.02,1.04
